Designator,Mid X,Mid Y,Rotation,Layer
C1,150.622,-77.724,90.0,bottom
C2,150.2664,-92.4647,90.0,bottom
C3,169.3164,-92.4306,270.0,bottom
D1,127.530886,-83.716724,315.0,top
D2,131.313809,-83.716724,315.0,top
D3,135.101763,-83.716724,315.0,top
D4,138.860962,-83.716724,315.0,top
J1,144.7292,-94.6912,90.0,bottom
LED1,154.913,-73.406,180.0,bottom
LED2,154.913,-92.456,180.0,bottom
LED3,173.963,-92.456,180.0,bottom
MX1,154.913,-68.326,0.0,top
MX2,154.913,-87.376,0.0,top
MX3,173.963,-87.376,0.0,top
SW1,176.463,-61.076,270.0,top
U1,126.89,-68.703669,0.0,top
U2,147.828,-77.409,0.0,bottom
